HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Common.name	Female.maturity..days.	Male.maturity..days.	Gestation.Incubation..days.	Weaning..days.	Litter.Clutch.size	Litters.Clutches.per.year	Inter.litter.Interbirth.interval	Birth.weight..g.	Weaning.weight..g.	Adult.weight..g.	Growth.rate..1.days.	Maximum.longevity..yrs.	Source	Specimen.origin	Sample.size	Data.quality	IMR..per.yr.	MRDT..yrs.	Metabolic.rate..W.	Body.mass..g.	Temperature..K.	References
11	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	Acipenser_brevirostrum	Shortnose sturgeon	5657	NA	13	NA	12e4	NA	NA	NA	NA	9325	NA	67	454	wild	medium	acceptable	NA	NA	NA	NA	NA	440454
12	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	Acipenser_dabryanus	Yangtze sturgeon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
13	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	Acipenser_fulvescens	Lake sturgeon	9490	2920	6	NA	35e4	NA	NA	NA	NA	7e4	NA	152	1	wild	medium	acceptable	0.013	10	NA	NA	NA	12440454524
14	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	Acipenser_gueldenstaedtii	Russian sturgeon	5110	4380	NA	NA	NA	NA	NA	NA	NA	63250	NA	46	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
15	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	Acipenser_oxyrinchus	Atlantic sturgeon	NA	NA	NA	NA	NA	NA	NA	NA	NA	202400	NA	60	22	wild	medium	acceptable	NA	NA	NA	NA	NA	22454
16	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	Acipenser_ruthenus	Sterlet	2129	1460	NA	NA	NA	NA	NA	NA	NA	8800	NA	46.1	1	captivity	medium	acceptable	NA	NA	NA	NA	NA	1454
17	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	Acipenser_schrenckii	Amur sturgeon	4562	3285	NA	NA	NA	NA	NA	NA	NA	104500	NA	60	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
18	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	Acipenser_stellatus	Star sturgeon	3285	2190	NA	NA	NA	NA	NA	NA	NA	44e3	NA	27	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
19	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	Acipenser_sturio	Baltic sturgeon	4608	3467	NA	NA	NA	NA	NA	NA	NA	22e4	NA	100	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
20	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	Acipenser_transmontanus	White sturgeon	8212	6022	NA	NA	NA	NA	NA	NA	NA	448800	NA	104	22	wild	medium	acceptable	NA	NA	NA	NA	NA	22454
21	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Huso	Huso_dauricus	Kaluga	6113	6387	NA	NA	NA	NA	NA	NA	NA	55e4	NA	55	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
22	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Huso	Huso_huso	Beluga sturgeon	6387	4745	NA	NA	NA	NA	NA	NA	NA	1139600	NA	118	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1454
23	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Pseudoscaphirhynchus	Pseudoscaphirhynchus_hermanni	Dwarf sturgeon	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.775	NA	6	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
24	Animalia	Chordata	Actinopterygii	Acipenseriformes	Polyodontidae	Polyodon	Polyodon_spathula	Mississippi paddlefish	3285	2190	NA	NA	NA	NA	NA	NA	NA	49885	NA	55	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
25	Animalia	Chordata	Actinopterygii	Amiiformes	Amiidae	Amia	Amia_calva	Bowfin	1551	1460	NA	NA	NA	NA	NA	NA	NA	5362.5	NA	30	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454520
26	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	Anguilla_anguilla	European eel	4562	4015	NA	NA	NA	NA	NA	NA	NA	3629.45	NA	88	2	captivity	small	acceptable	NA	NA	NA	NA	NA	2232454523
