Species,Use,Order,Taxon,Family,Class,Type,Calc,BM,Tbmin,Mrmin,PBMR,Boutmax,Boutmean,Source,lat,ta,prec,IBE
Acomys russatus,Acomys russatus,RODENTIA,Plac,NA,MAMMALIA,DT,1,64,25,0.25,38,10,7.5,Ehrhardt et al. 2005; Levy et al. 2011,22.84,21.439,9.2,
Acrobates pygmaeus,Acrobates pygmaeus,DIPROTODONTIA,Mar,NA,MAMMALIA,HIB,1,11,1.6,0.056,5,192,85,Fleming 1985; Geiser et al. 1992,-24.91,18.57,61.57,
Aethomys namaquenesis,Micaelamys namaquensis,RODENTIA,Plac,NA,MAMMALIA,DT,1,46,18.9,NA,NA,NA,NA,Withers et al. 1980,-23.16,20.175,49.06,
Allactaga euphratica,Allactaga euphratica,RODENTIA,Plac,NA,MAMMALIA,HIB,1,90,NA,NA,NA,336,96,Colak & Yigit 1998,33,NA,NA,
Allactaga williamsi,Allactaga williamsi,RODENTIA,Plac,NA,MAMMALIA,HIB,1,150,NA,NA,NA,144,96,Colak & Yigit 1998,39,NA,NA,
Amblysomus hottentotus,Amblysomus hottentotus,AFROSORICIDA,Plac,NA,MAMMALIA,HIB,1,75,8.6,NA,NA,96,78,Scantlebury et al. 2008,-29.74,14.614,55.31,
Antechinomys laniger,Antechinomys laniger,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,27,11,0.14,13,16,11.5,Geiser 1986,-27.09,20.594,21.07,
Antechinus flavipes,Antechinus flavipes,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,26,24.5,0.48,46,5.5,2,Geiser 1988,-26.92,16.941,62.29,
Antechinus stuartii,Antechinus stuartii,DASYUROMORPHIA,Mars,NA,MAMMALIA,DT,1,26,19.9,0.66,62,9,4,Geiser 1988,-26.74,16.872,87.48,
Apodemus peninsulae,Apodemus peninsulae,RODENTIA,Plac,NA,MAMMALIA,DT,1,26,20,NA,NA,6.5,2.1,Masaki et al. 2005,48.26,-2.028,42.13,
Atelerix algirus,Atelerix algirus,INSECTIVORA,Plac,NA,MAMMALIA,HIB,1,630,9.7,NA,NA,168,84,Mouhoub-Sayah et al. 2008,33.74,16.759,26.26,16
Atelerix frontalis,Atelerix frontalis,INSECTIVORA,Plac,NA,MAMMALIA,HIB,1,400,1,NA,NA,116,22,Hallam & Mzilikazi 2011,-23.03,18.69,42.24,12
Baiomys taylori,Baiomys taylori,RODENTIA,Plac,NA,MAMMALIA,DT,1,6.4,22,0.5,26,20,10,Hudson 1965,26.19,18.874,55.48,
Barbastella barbastellus,Barbastella barbastellus,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,7,NA,0.04,2,NA,NA,Pohl 1961,44.28,8.424,57.71,
Burramys parvus,Burramys parvus,DIPROTODONTIA,Mars,NA,MAMMALIA,HIB,1,63,1.8,0.025,2,480,342,Geiser & Broome 1991,-36.29,9.874,64.13,8
Calomys musculinus,Calomys musculinus,RODENTIA,Plac,NA,MAMMALIA,DT,1,17,NA,0.52,32,16,13,Bozinovic & Rosenman 1988,-31.61,14.566,51.57,
Calomys venustus,Calomys venustus,RODENTIA,Plac,NA,MAMMALIA,DT,1,50,16.4,0.96,67,8,7,Caviedes-Vidal et al. 1990,-37,NA,NA,
Carollia perspicillata,Carollia perspicillata,CHIROPTERA,Plac,NA,MAMMALIA,DT,1,18,22,1,53,NA,NA,Audet & Thomas 1997,-4.14,23.685,149.5,
Cercartetus concinnus,Cercartetus concinnus,DIPROTODONTIA,Mars,NA,MAMMALIA,HIB,1,18,4.7,0.046,4,264,102,Geiser 1987,-33.82,16.241,34.84,6
Cercartetus lepidus,Cercartetus lepidus,DIPROTODONTIA,Mars,NA,MAMMALIA,HIB,1,12,5.9,0.052,3,144,NA,Geiser 1987,-38.97,13.035,49.34,
Cercartetus nanus,Cercartetus nanus,DIPROTODONTIA,Mars,NA,MAMMALIA,HIB,1,20,1.3,0.018,2.7,840,101,Geiser 1993; Song et al. 1997; Turner et al. 2012,-35.06,13.185,70.94,3.3
Chalinolobus gouldii,Chalinolobus gouldii,CHIROPTERA,Plac,NA,MAMMALIA,HIB,1,18,5,0.05,3,NA,NA,Hosken & Withers 1997,-27.37,20.838,36.09,
Cheirogaleus crossleyi,Cheirogaleus crossleyi,PRIMATES,Plac,NA,MAMMALIA,HIB,1,500,9,NA,NA,168,111,Blanco & Rahalinarivo 2010,-18.72,18.764,180.87,10.2
