Species CountA CountC CountG CountT CountA_Syn CountC_Syn CountG_Syn CountT_Syn
Abbottina_obtusirostris.CytB 1587 1561 903 1649 504 248 97 172
Abbottina_rivularis.ATP6 939 1035 482 949 309 234 43 108
Abbottina_rivularis.COX1 1953 2004 1468 2309 547 385 188 318
Abbottina_rivularis.COX2 1021 966 585 878 227 180 55 110
Abbottina_rivularis.COX3 1031 1126 715 1043 316 203 75 112
Abbottina_rivularis.CytB 4393 4700 2603 4255 1383 789 377 322
Abbottina_rivularis.ND1 1069 1087 666 1066 361 172 109 130
Abbottina_rivularis.ND2 1295 1285 590 1006 335 277 77 118
Abbottina_rivularis.ND4 2024 2028 1032 1816 572 387 113 203
Abramis_brama.ATP8 416 309 138 265 79 37 10 26
Abramis_brama.CytB 4155 3978 2092 4322 1270 724 146 417
Abrothrix_longipilis.CytB 10624 10823 4834 11438 2652 1986 323 1288
Abrothrix_olivaceus.CytB 4896 4567 2114 5505 1147 887 103 574
Abudefduf_saxatilis.ATP6 701 916 338 744 191 204 33 110
Abudefduf_sparoides.CytB 3181 4010 1693 3425 849 931 66 366
Abudefduf_vaigiensis.ATP6 1219 1573 628 1347 314 350 73 211
Abudefduf_vaigiensis.ND3 301 431 197 397 83 99 15 58
Acanthocybium_solandri.CytB 2814 3755 1658 3111 808 896 84 351
Acanthogobius_hasta.ATP6 678 807 376 863 197 157 31 155
Acanthogobius_hasta.COX1 1517 1674 1161 1876 405 290 156 316
Acanthogobius_hasta.CytB 1352 1646 943 1759 369 335 81 251
Acanthogobius_hasta.ND2 1097 1321 651 1107 292 289 88 186
Acanthogobius_hasta.ND3 313 375 221 483 77 73 23 92
Acanthogobius_hasta.ND4L 272 386 190 328 92 90 14 52
Acanthopagrus_berda.CytB 3524 3894 2000 4262 869 868 109 612
Acanthopagrus_latus.CytB 1122 1335 708 1374 292 306 44 198
Acanthopagrus_schlegelii.CytB 1164 1361 683 1352 304 286 49 200
Acanthopagrus_schlegelii.ND2 771 1097 409 855 174 277 41 166
Acanthorhodeus_chankaensis.CytB 4061 3888 2260 4609 1130 749 184 487
Acanthosaura_lepidogaster.CytB 4447 4761 2062 3978 1152 1004 225 323
Acanthurus_nigricans.ATP6 4688 5434 1986 4903 1439 1151 108 628
Acanthurus_triostegus.ATP6 10896 12650 4802 11820 2962 2836 351 1520
Accipiter_nisus.ND2 1165 1213 339 907 337 246 5 138
Acentrogobius_janthinopterus.CytB 6702 8241 3767 7303 1887 1728 254 874
Acheilognathus_barbatus.CytB 1217 1241 716 1386 323 218 84 173
Acheilognathus_cyanostigma.CytB 1822 1747 1021 2142 446 337 106 250
Acheilognathus_macropterus.CytB 6063 5713 3264 6584 1757 1131 273 566
Acheilognathus_rhombeus.CytB 3419 3353 1944 3809 916 583 225 434
Acheilognathus_signifer.CytB 2242 2626 1577 2675 537 568 242 257
Acheilognathus_somjinensis.CytB 2024 2204 1341 2411 462 427 223 274
Acheilognathus_tabira.CytB 11581 11933 6450 12672 3117 2225 662 1424
Acheilognathus_typus.CytB 1258 1212 665 1365 352 248 47 117
Acheilognathus_yamatsutae.CytB 1885 1892 1029 2034 518 335 103 238
Achondrostoma_oligolepis.CytB 2122 2176 1288 2310 651 386 158 227
Acipenser_gueldenstaedtii.CytB 8026 9209 4455 7836 2398 1877 427 721
Acipenser_schrenckii.COX1 1909 2240 1502 2104 519 522 187 197
Acipenser_schrenckii.COX2 1062 953 579 832 272 164 63 67
Acipenser_schrenckii.CytB 3072 3551 1656 2965 928 761 117 241
Acipenser_schrenckii.ND1 1357 1547 704 1252 420 332 63 117
Acipenser_schrenckii.ND2 1819 1884 780 1295 449 459 73 114
Acipenser_schrenckii.ND3 320 427 248 397 93 110 30 34
Acipenser_schrenckii.ND4 1611 1729 826 1354 452 373 85 123
Acipenser_stellatus.CytB 3034 3587 1751 2935 888 738 190 247
Acomys_cahirinus.ATP6 836 835 276 765 221 179 11 69
Acomys_cahirinus.CytB 4112 4053 1767 3698 1165 712 88 304
Acomys_cahirinus.ND1 1391 1427 524 1218 416 272 29 110
Acomys_cahirinus.ND4 1937 1621 528 1398 507 277 36 83
Acomys_cahirinus.ND4L 335 371 129 340 112 75 5 35
Acomys_dimidiatus.CytB 3819 3899 1710 3652 1135 692 77 299
Acomys_minous.CytB 2933 3053 1320 2683 874 555 68 210
Acridotheres_cristatellus.COX2 785 906 447 586 224 192 16 60
Acridotheres_cristatellus.ND2 1227 1444 529 952 387 312 33 101
Acritillas_indica.CytB 3649 4253 1669 2969 1206 809 115 208
Acrocephalus_brevipennis.CytB 4867 6359 2653 4169 1506 1265 366 270
Acrocephalus_orientalis.CytB 1932 2335 895 1678 654 448 49 132
Acrocephalus_scirpaceus.ND2 1552 1798 662 1178 450 367 91 112
Acrossocheilus_beijiangensis.CytB 1271 1371 673 1236 444 209 59 124
Acrossocheilus_parallens.ATP6 806 777 377 764 271 103 49 121
Acrossocheilus_parallens.ATP8 232 175 76 165 32 26 4 16
Acrossocheilus_parallens.COX1 1674 1690 1084 1744 530 271 110 247
Acrossocheilus_parallens.COX3 874 924 520 814 273 169 34 64
Acrossocheilus_parallens.CytB 1583 1697 855 1556 518 281 77 150
Acrossocheilus_parallens.ND1 1083 1187 631 987 396 204 76 115
Acrossocheilus_parallens.ND2 1301 1273 572 838 416 251 59 69
Acrossocheilus_parallens.ND3 393 399 211 389 113 90 22 14
Acrossocheilus_parallens.ND4 2090 2051 1005 1754 626 418 93 165
Acrossocheilus_parallens.ND4L 297 357 199 323 113 56 19 49
Acrossocheilus_yunnanensis.CytB 2259 2322 1167 2169 753 391 98 181
Acrossocheilus_yunnanensis.ND4 9386 8871 4262 7709 2829 1587 471 733
Adelomyia_melanogenys.ATP6 15917 19704 5465 14075 5012 4013 417 1656
Adelomyia_melanogenys.CytB 10154 13180 4474 8669 2848 3215 143 522
Aegithalos_bonvaloti.ND2 1948 2135 691 1505 464 419 90 218
Aegithalos_caudatus.CytB 1266 1485 563 1230 399 278 18 148
Aegithalos_caudatus.ND2 11747 13181 4522 9121 2673 2646 555 1182
Aegithalos_concinnus.CytB 1272 1531 575 1182 420 280 17 153
Aegithalos_concinnus.ND2 22755 25590 7965 18345 5356 5342 859 2575
Aegithalos_fuliginosus.ND2 2512 2742 883 1936 596 537 117 279
Aegotheles_cristatus.ATP8 215 229 37 155 56 39 20 NA
Aerodramus_fuciphagus.CytB 2526 3377 1176 2017 781 796 52 93
Aerodramus_maximus.CytB 1844 2437 907 1543 560 557 64 84
Aethopyga_gouldiae.ND2 1289 1500 472 891 390 290 51 112
Aethopyga_pulcherrima.ND2 7669 8867 2894 5482 2227 1837 342 590
Agelaius_phoeniceus.CytB 2684 3303 1301 2459 874 674 57 265
Agelaius_phoeniceus.ND2 5572 6619 1956 4535 1334 1325 217 784
Agkistrodon_contortrix.ATP6 4166 4502 1322 3270 1169 909 125 346
Agkistrodon_contortrix.CytB 15471 16222 5379 13807 4001 3034 186 1111
Agkistrodon_contortrix.ND4 894 840 341 684 262 153 20 64
Agkistrodon_piscivorus.ATP6 3729 4262 1415 3308 954 991 152 408
Agkistrodon_piscivorus.ATP8 581 486 111 280 113 89 16 23
Agkistrodon_piscivorus.CytB 13247 14142 4504 11907 3412 2698 142 970
Agkistrodon_piscivorus.ND4 1136 1067 416 814 333 201 35 41
Agonostomus_monticola.CytB 8895 9995 5041 11016 2663 1851 260 1539
Ailuropoda_melanoleuca.ATP6 1610 1290 695 1829 392 168 96 287
Ailuropoda_melanoleuca.COX1 2065 1781 1391 2473 581 259 139 390
Ailuropoda_melanoleuca.COX2 916 589 417 802 210 68 42 91
Ailuropoda_melanoleuca.COX3 856 767 496 1013 254 94 42 146
Ailuropoda_melanoleuca.CytB 11942 10437 5804 12749 3612 1365 556 1256
Ailuropoda_melanoleuca.ND2 1818 1256 457 1464 479 204 10 166
Ailuropoda_melanoleuca.ND4 1704 1369 708 1727 400 219 89 225
Ailurus_fulgens.ND2 1400 980 372 1208 289 154 32 150
Akodon_montensis.CytB 3158 3344 1504 3356 778 650 115 370
Akodon_spegazzinii.CytB 4387 4396 1873 4631 1128 807 36 479
Alauda_arvensis.ND2 10602 13569 4210 8435 2653 3191 542 1085
Alburnus_alburnus.CytB 2649 2916 1771 2922 785 529 260 296
Alcelaphus_buselaphus.CytB 1387 1376 643 1138 465 213 44 65
Alces_alces.CytB 3139 2700 1349 3045 999 366 58 304
Alectoris_chukar.CytB 12750 16632 5765 11809 3736 3876 286 765
Alectoris_chukar.ND2 2923 3147 874 2236 784 655 89 244
Alectoris_rufa.CytB 9540 12540 4253 8611 2845 2983 107 564
Alectura_lathami.ND2 1235 1431 425 1019 307 315 57 120
Alethe_poliocephala.CytB 4180 4901 1941 3642 1391 888 103 329
Algansea_tincella.CytB 2408 2588 1517 2559 712 474 203 234
Alligator_mississippiensis.CytB 2485 2744 1133 2412 784 535 56 247
Alophoixus_pallidus.ATP6 6872 8461 2311 5510 2300 1788 250 610
Alopias_pelagicus.ND2 1243 1094 390 1134 307 206 21 153
Alosa_alosa.ND1 3258 4301 2381 3651 1060 876 388 434
Alosa_fallax.CytB 1172 1322 800 1266 367 236 75 148
Alosa_fallax.ND1 10373 13685 7708 11560 3236 2781 1329 1407
Alosa_pseudoharengus.ND1 942 1201 673 1072 300 236 111 145
Alosa_sapidissima.ND1 2620 3340 1832 2900 837 685 303 341
Alouatta_belzebul.ATP6 1503 1351 478 1414 371 252 43 180
Alouatta_belzebul.CytB 13784 15084 5540 13644 3938 3318 175 1033
Alouatta_caraya.CytB 5682 6570 2500 5469 1645 1385 130 416
Alouatta_guariba.CytB 2899 3271 1221 2749 853 639 55 275
Alouatta_seniculus.COX2 1989 1668 791 1723 439 282 25 219
Alouatta_seniculus.CytB 1606 1794 655 1495 434 386 26 125
Alticola_semicanus.CytB 2339 2384 1075 2159 624 433 82 183
Alticus_arnoldorum.ATP6 3026 3534 1652 4046 703 667 143 790
Amatitlania_nigrofasciata.CytB 34510 45934 18646 42569 7875 11615 1027 5119
Amazona_farinosa.CytB 1116 1487 589 1032 314 348 60 41
Amazona_ochrocephala.ATP6 2265 2831 630 1763 742 641 16 186
Amazona_ochrocephala.ATP8 137 131 12 116 34 23 4 NA
Amazona_ochrocephala.CytB 1419 1837 744 1293 417 372 89 87
